service,region,plan_type,plan_name,price,currency
Spotify,US,Music,Skip to content Spotify Premium plans Premium Individual 1 a,0,$
Spotify,US,Music,Ends soon: $0 for 3 months of Premium IndividualDon't miss a,0,$
Spotify,US,Music,Try 3 months for US$0View all plans,0,$
Spotify,US,Music,Try 3 months for US$0,0,$
Spotify,US,Music,US$0 for 3 monthsPremiumIndividualUS$0 for 3 monthsUS$5.49/m,0,$
Spotify,US,Music,PremiumIndividualUS$0 for 3 monthsUS$5.49/month after,0,$
Spotify,US,Music,"US$0 for 3 months, then US$5.49 per month after. Offer only ",0,$
Spotify,US,Music,US$0 for 1 monthPremiumStudentUS$0 for 1 monthUS$2.99/month ,0,$
Spotify,US,Music,PremiumStudentUS$0 for 1 monthUS$2.99/month after,0,$
Spotify,US,Music,Try 1 month for US$0,0,$
Spotify,US,Music,"US$0 for 1 month, then US$2.99 per month after. Offer reserv",0,$
Spotify,US,Music,PremiumDuoUS$7.49 / month,7.49,$
Spotify,US,Music,PremiumFamilyUS$9.49 / month,9.49,$
Spotify,US,Music,Questions?We’ve got answers.Find more answers on our Support,5.49,$
Apple TV+,US,Streaming,Apple TV and Peacock Save over 30% Get exclusive Apple Orig,14,$
Apple TV+,US,Streaming,2 Try 3 months free 2 New Subscriber 1 week free Get Apple,12,$
Apple TV+,US,Streaming,2 (2) A monthly subscription is just $12,12,$
Apple TV+,US,Streaming,Apple One plans start at $19,19,$
Apple TV+,US,Streaming,Learn more Apple Footer * (none) Plans start at $14,14,$
Apple TV+,US,Streaming,$12,12,$
Apple TV+,US,Streaming,Plan automatically renews at $5,5,$
